confirmatory::C0HJJ4	confirmatory::C0HJJ4
confirmatory::C0HJJ4	confirmatory::O42143
confirmatory::C0HJJ4	confirmatory::O12956
confirmatory::C0HJJ4	confirmatory::O42144
confirmatory::C0HJJ4	confirmatory::P01272
confirmatory::C0HJJ4	confirmatory::P01273
confirmatory::C0HJJ4	confirmatory::P01274
confirmatory::C0HJJ4	confirmatory::P01275
confirmatory::C0HJJ4	confirmatory::P04092
confirmatory::C0HJJ4	confirmatory::P04093
confirmatory::C0HJJ4	confirmatory::P06883
confirmatory::C0HJJ4	confirmatory::P09566
confirmatory::C0HJJ4	confirmatory::P09686
confirmatory::C0HJJ4	confirmatory::P0C235
confirmatory::C0HJJ4	confirmatory::P15438
confirmatory::C0HJJ4	confirmatory::P33528
confirmatory::C0HJJ4	confirmatory::P55095
confirmatory::C0HJJ4	confirmatory::P68260
confirmatory::C0HJJ4	confirmatory::P68273
confirmatory::C0HJJ4	confirmatory::P68274
confirmatory::C0HJJ4	confirmatory::P68275
confirmatory::C0HJJ4	confirmatory::P68954
confirmatory::C0HJJ4	confirmatory::P68955
confirmatory::C0HJJ4	confirmatory::P68956
confirmatory::C0HJJ4	confirmatory::P68957
confirmatory::C0HJJ4	confirmatory::Q8MJ25
confirmatory::C0HJJ4	discovery::P18108
confirmatory::C0HJJ4	discovery::P29794
confirmatory::C0HJJ4	discovery::P68952
confirmatory::C0HJJ4	discovery::P68953
confirmatory::C0HJJ4	confirmatory::P01278
confirmatory::C0HJJ4	confirmatory::C0HJJ2
confirmatory::C0HJJ4	confirmatory::C0HJJ5
confirmatory::C0HJJ4	confirmatory::C0HJJ6
confirmatory::C0HJJ4	confirmatory::P07449
confirmatory::C0HJJ4	confirmatory::P81026
confirmatory::C0HJJ4	confirmatory::P81880
confirmatory::C0HJJ4	discovery::C0HJJ3
confirmatory::C0HJJ4	confirmatory::P09687
confirmatory::C0HJJ4	confirmatory::P09682
confirmatory::C0HJJ4	confirmatory::P22890
confirmatory::C0HJJ4	confirmatory::P05110
confirmatory::C0HJJ4	confirmatory::P31297
confirmatory::C0HJJ4	confirmatory::P09567
confirmatory::C0HJJ4	confirmatory::P13189
confirmatory::C0HJJ4	confirmatory::Q9PRQ9
confirmatory::C0HJJ4	confirmatory::Q91971
confirmatory::C0HJJ4	confirmatory::Q91189
confirmatory::C0HJJ4	confirmatory::Q9PUR0
confirmatory::C0HJJ4	confirmatory::Q9PUR1
confirmatory::C0HL51	confirmatory::C0HL51
confirmatory::C0HLB8	confirmatory::C0HLB8
confirmatory::C0HLT8	confirmatory::C0HLT8
confirmatory::C0HLT8	confirmatory::P26986
confirmatory::C0HLT8	confirmatory::A0A0K3AVY3
confirmatory::C0HMC3	confirmatory::C0HMC3
confirmatory::C0K3N1	confirmatory::C0K3N1
confirmatory::C4M1P9	confirmatory::C4M1P9
confirmatory::C7B178	confirmatory::C7B178
confirmatory::C9D7R2	confirmatory::C9D7R2
confirmatory::D0EM77	confirmatory::D0EM77
confirmatory::D0Z6T1	confirmatory::D0Z6T1
